年份,考次,考科,題號,題目,選項A,選項B,選項C,選項D,正確答案,答案來源,圖片
民國111年,第2次,醫學(五),80,"<sup> </sup>A醫師是一位熱心教學的乳房外科醫師,為指導住院醫師正確之身體檢查技巧,A醫師利用病患在麻醉後失去 意識時,進行理學檢查之臨床教學。下列何者正確?",一定要病人知情同意後才能用於教學,"現實狀況下,這是不得已的選擇",只要有女性護理同仁陪同就可,"臨床教學時,只能觸摸有病變的那一側 <sup> </sup>",A,原始,[]
民國111年,第2次,醫學(六),1,"氣道的輔助工具包括鼻咽人工氣道(nasopharyngeal airway)與口咽人工氣道(oropharyngeal airway),下列敘述 何者錯誤?",清醒的病人優先使用口咽人工氣道,誘發嘔吐是口咽人工氣道的潛在性風險,顱骨底骨折是鼻咽人工氣道的禁忌,鼻出血是鼻咽人工氣道的潛在性併發症,A,原始,[]
民國111年,第2次,醫學(六),2,"關於心血管監測在麻醉或重症病人的臨床運用,下列敘述何者錯誤?","在肺動脈導管(pulmonary artery catheter)監測mixed venous hemoglobin oxygen saturation(SvO<sub>2</sub>),目的是測量 心輸出量與全身血氧供應量是否足夠。正常的SvO<sub>2</sub>數值約30%~50%","經食道超音波(transesophageal echocardiography)對心臟功能、瓣膜功能、心室內血量、導管位置都有良好的 監測效果,也可以使用在非開心手術的病人監測","若要監測心臟前負荷(cardiac preload),動態測量(如pulse pressure variation)較靜態測量(如pulmonary capillary wedge pressure)更能預測血管內容積的反應性(intravascular volume responsiveness)",使用CVP(central venous pressure)和肺動脈導管監測最常見的後遺症是對數值的誤用與誤判,A,原始,[]
民國111年,第2次,醫學(六),3,"麻醉中關於腎臟功能的監測與處理,下列敘述何者正確?","術中尿排出量(urine output)為術中最常用的監測,可以監測腎絲球過濾(glomerular filtration)與腎功能",creatinine升高與GFR(glomerular filtration rate)降低成線性正比關係,"麻醉中為確保腎功能,最有效的方式是監測及維持hemodynamics,確保心臟功能、血管內血量及足夠的組織",腎功能受損的biomarker介白素(interleukin-18)與腎小管壓力反應並無相關,C,原始,[]
民國111年,第2次,醫學(六),4,"臨床上使用鴉片類藥物為手術後止痛,下列何者具鴉片類藥物受體專一性拮抗作用,競爭中樞神經的受體,可 以拮抗過量鴉片類藥物所造成的呼吸抑制?",naloxone,flumazenil,dexmedetomidine,ketamine,A,原始,[]
民國111年,第2次,醫學(六),5,"下列有關靜脈麻醉劑(intravenous anesthetics)的敘述,何者錯誤?",benzodiazepine可能導致呼吸暫停(apnea),propofol製劑有助於細菌的生長,barbiturate抑制腦幹中的reticular activating system,barbiturate經由與NMDA受體結合而起作用,D,原始,[]
民國111年,第2次,醫學(六),6,"麻醉誘導進行面罩通氣時發現通氣困難,下列那一項措施的改善效果最差?",用力往下壓緊面罩,放置口咽呼吸道(oral airway),放置鼻咽呼吸道(nasal airway),壓額抬下巴(head tilt and chin lift),A,原始,[]
民國111年,第2次,醫學(六),7,下列何者不是經食道超音波能獲得的資訊?,左心室舒張功能,心輸出量(cardiac output),主動脈瓣膜狹窄程度,冠狀動脈狹窄程度,D,原始,[]
民國111年,第2次,醫學(六),8,"下列有關epidural injection for chronic pain 的敘述,何者錯誤?",適用於治療輕度神經根壓迫(nerve root compression)所造成的radicular pain,"通常需要有影像的導引(image guidance),最常用的是X光透視導引(fluoroscopic guidance)",合併使用類固醇加局部麻醉藥較單獨使用局部麻醉藥注射效果好,"頸椎epidural injection的風險太高,臨床上並未使用",D,原始,[]
民國111年,第2次,醫學(六),9,"敗血性休克常併發多重器官的問題,下列敘述何者錯誤?","產生胰島素抗性(insulin resistance),常導致低血糖","因為血小板的活化與凝集,常導致血小板低下,是敗血症的早期病徵之一",常併發瀰漫性血管內凝血(disseminated intravascular coagulation),"因為胃黏膜的壓力性潰瘍,常導致上消化道出血",A,原始,[]
民國111年,第2次,醫學(六),10,"病患有下列何種年齡相關黃斑部退化(age-related macular degeneration)時,最適合使用抗血管內皮生長因子製 劑(anti-VEGF agents)治療?",隱結(drusen),視網膜色素細胞萎縮(RPE atrophy),脈絡膜新生血管(choroidal neovascularization),纖維性盤狀結疤(disciform scarring),C,原始,[]
民國111年,第2次,醫學(六),11,下列何者不是造成牽引性視網膜剝離(tractional retinal detachment)之常見原因?,增殖性糖尿病視網膜病變(proliferative diabetic retinopathy),嚴重的早產兒視網膜病變(retinopathy of prematurity),穿透性眼後部外傷(penetrating posterior segment trauma),急性後玻璃體剝離(acute posterior vitreous detachment),D,原始,[]
民國111年,第2次,醫學(六),12,"有關結膜炎的敘述,下列何者錯誤?",披衣菌感染可造成黏液膿狀(mucopurulent)分泌物,淋病感染可造成嚴重膿狀(severe purulent)分泌物,黏液(mucoid)分泌物與急性過敏較有關,水性(watery)分泌物與病毒感染較有關,C,原始,[]
民國111年,第2次,醫學(六),13,"下列對遠距視力表檢查結果的敘述,何者較為正確?",裸視1.5:表示該眼是遠視眼,裸視1.5:表示該眼不太會是近視眼,裸視0.5:表示該眼是遠視眼,裸視0.5:表示該眼不會是遠視眼,B,原始,[]
民國111年,第2次,醫學(六),14,"有關先天性白內障的敘述,下列何者錯誤?",必須列為白瞳(leukocoria)鑑別診斷之一,雙眼輕微白內障可以等待一段時間再手術,雙側性白內障較單側性白內障容易產生弱視,手術後容易有續發性青光眼,C,原始,[]
民國111年,第2次,醫學(六),15,"有關弱視的敘述,下列何者正確?","弱視為兩眼在視覺發育關鍵期(critical period)時,兩眼競爭、抑制(interocular suppression)導致對應之視皮 質發育異常,所以不可能兩眼同時弱視","內斜視會引起弱視,外斜視不會引起弱視","老年人因白內障遮蔽致使矯正視力不佳,也屬於弱視的一種","弱視在關鍵期(critical period)內及早發現,治療效果較好;因此學齡前的兒童應做視力和立體感的篩檢以 及早發現與治療",D,原始,[]
民國111年,第2次,醫學(六),16,視神經盤水腫(optic disc swelling)的鑑別診斷與下列何者不相關?,高血糖或高血壓的視神經合併症,因腦壓高所造成的papilledema,正常眼壓性青光眼,輕微或初期性中心視網膜靜脈阻塞(central retinal vein occlusion),C,原始,['images/111080_44_q016_i0.jpg']
民國111年,第2次,醫學(六),17,"侵犯眼睛的病毒中,下列何者不屬於疱疹病毒科(herpes viruses)?",水痘帶狀疱疹病毒(varicella-zoster virus),EB病毒(Epstein-Barr virus),人類免疫缺乏病毒(human immunodeficiency virus),巨細胞病毒(Cytomegalovirus),C,原始,[]
民國111年,第2次,醫學(六),18,"有關甲狀腺眼病變(Graves' ophthalmopathy)患者眼瞼攣縮(lid retraction)的敘述,下列何者錯誤?",可以單側或雙側表現,可發生在上眼瞼或下眼瞼,可能原因包括張眼肌肉群(lid retractors)的纖維化,其特徵為眼球往下看時上眼瞼隨之下落時間延遲,D,原始,[]
民國111年,第2次,醫學(六),19,"50歲病人,因左耳聽力損失及偶爾流膿前來就診,耳鏡檢查如圖,下列何者為最可能之診斷?",急性中耳炎,積液性中耳炎,慢性中耳炎,膽脂瘤,C,原始,[]
民國111年,第2次,醫學(六),20,"關於老年型聽力退化,下列敘述何者最不適當?","一般而言,同年齡男性比女性退化嚴重",噪音傷害會使聽力退化加劇,會造成語音辨識度變差,通常從低頻處先開始退化,D,原始,[]
民國111年,第2次,醫學(六),21,"有關巴特氏額頭膨腫(Pott puffy tumor),下列敘述何者正確?",病因是篩骨(ethmoid bone)的骨膜下膿瘍(subperiosteal abscess)及骨髓炎(osteomyelitis),常侵犯老年人,常侵犯具有自體免疫性疾病(autoimmune disease)的病人,早期症狀可能只有輕微的局部軟組織硬化(induration),D,原始,[]
民國111年,第2次,醫學(六),22,"有關過敏性鼻炎(allergic rhinitis)的治療,下列何者不屬於第一線選項?",抗組織胺(antihistamine),去充血劑(decongestant),類固醇鼻噴劑(intranasal steroid),免疫治療(immunotherapy),D,原始,[]
民國111年,第2次,醫學(六),23,"有關流鼻血(epistaxis)的治療,下列敘述何者最適當?",加壓鼻骨(nasal bone)處10~15分鐘,膠原蛋白凝膠基質(collagen gel matrix)或氧化纖維素(oxidized cellulose)敷料對控制出血無效益,加壓前鼻中隔(anterior nasal septum)或鼻填塞(nasal packing),前篩動脈結紮(anterior ethmoidal artery ligation),C,原始,[]
民國111年,第2次,醫學(六),24,"有關成人原因不明之聲門下狹窄(idiopathic subglottic stenosis),下列敘述何者最不適當?",多發生於生育年齡層之女性,"與女性荷爾蒙相關,在聲門下檢體中可發現有較多的雌激素受體(estrogen receptor)",與逆流性咽喉炎(laryngopharyngeal reflux)相關,在病人的聲門下瘢痕組織中有可能檢出胃蛋白酶(pepsin),送分(原:B),申覆後,[]
民國111年,第2次,醫學(六),25,"有關早期喉癌(T1, T2)的手術與放射線治療之比較,下列何者錯誤?","放射線治療所需要的時間較長,成本也較手術治療為高","就局部腫瘤的控制,或治癒率、存活率而言,兩種治療方式不相上下","就長期的喉保存(laryngeal preservation)而言,手術的結果較差","某些腫瘤因生長部位,不易以內視鏡方式切除,可考慮以經口機器人手術(transoral robotic surgery)或放射 線治療",C,原始,[]
民國111年,第2次,醫學(六),26,唾液腺結石(sialolithiasis)最常出現於下列何者?,下頷腺(submandibular gland),腮腺(parotid gland),舌下腺(sublingual gland),小唾液腺(minor salivary gland),A,原始,[]
民國111年,第2次,醫學(六),27,"關於甲狀腺髓質癌(medullary carcinoma),下列敘述何者錯誤?",腫瘤細胞起源於parafollicular C cell,"大部分為家族遺傳型(familial),少部分為偶發型(sporadic)",頸部淋巴轉移相當常見,血液中calcitonin可做為追蹤的有效腫瘤標記,B,原始,[]
民國111年,第2次,醫學(六),28,"關於android型骨盆的敘述,下列何者錯誤?",會聚的側壁(convergent sidewalls),明顯的坐骨棘(ischial spines),狹窄的恥骨弓(pubic arch),骨盆出口的橫徑(transverse diameter of pelvic outlet)>10 cm,D,原始,[]
民國111年,第2次,醫學(六),29,"在懷孕全程,母親血液中的下列何種荷爾蒙濃度並不會隨著妊娠週數增加而持續增加?",雌二醇(estradiol),雌三醇(estriol),人類絨毛膜刺激激素(human chorionic gonadotropin),人類胎盤催乳激素(human placental lactogen),C,原始,[]
民國111年,第2次,醫學(六),30,"胎兒羊水(amnionic fluid)體積的調控除胎兒尿液(fetal urination)外,以下列何者最多?",胎兒吞嚥(fetal swallowing),胎兒肺部分泌(fetal lung fluid secretion),胎盤表面經膜內胎兒血管流入(intramembranous flow across fetal vessels on the placental surface),母體循環經羊膜流入(transmembranous flow across amnionic membrane),送分(原:A),申覆後,[]
民國111年,第2次,醫學(六),31,"關於以超音波杜卜勒(Doppler)檢查足月胎兒臍動脈的血流速度測量(umbilical artery Doppler velocimetry)之 敘述,下列何者屬正常?",臍動脈的血流速度測量收縮-舒張值比率(systolic-diastolic [S/D] ratio)大於該妊娠週數之95th percentile,臍動脈的血流速度測量收縮-舒張值比率(systolic-diastolic [S/D] ratio)小於3,臍動脈的血流速度測量顯示終端血管舒張時血流消失(absent end-diastolic flow),臍動脈的血流速度測量顯示終端血管舒張時血流逆行(reversed end-diastolic flow),B,原始,[]
民國111年,第2次,醫學(六),32,"難產(dystocia)的定義為產程進展異常的緩慢,一般有三個因素可造成。下列何者錯誤?",pubis:symphysis shape異常,power:uterine contractility不夠好,passenger:fetus過大,passage:pelvis太窄或軟組織過多,A,原始,[]
民國111年,第2次,醫學(六),33,"導致胎兒水腫(hydrops fetalis)常見的原因,下列敘述何者錯誤?",透納氏症(Turner syndrome),巨細胞病毒(cytomegalovirus)感染,雙胞胎輸血症候群(twin-twin transfusion syndrome),無腦症(anencephaly),D,原始,[]
民國111年,第2次,醫學(六),34,"胎兒生理評估(biophysical profile)包含無壓力測試(nonstress test)、胎兒呼吸(fetal breathing)、胎兒張力 (fetal tone)、胎動(fetal movement)、羊水量(amnionic fluid volume)五項指標,下列敘述何者錯誤?","得分6分,且羊水量過少者建議生產","得分6分,羊水量正常且週數大於36週建議生產","得分4分,應該隔日再次評估,若小於等於6分建議生產",得分2分者建議生產,C,原始,[]
民國111年,第2次,醫學(六),35,下列那一項是導致絨毛膜羊膜炎(chorioamnionitis)最主要的原因?,母親抽菸(maternal smoking),破水時間延長(prolonged rupture of membranes),母體免疫抑制(maternal immunosuppression),合併妊娠糖尿病(pregnancy complicated by gestational diabetes),B,原始,[]
民國111年,第2次,醫學(六),36,"幾乎一半的胎兒死亡(fetal death),是由下列那一項懷孕併發症(pregnancy complication)造成的?",子癇前症(preeclampsia),羊水過少(oligohydramnios),胎兒畸形(fetal malformations),胎兒生長受限(fetal growth restriction),D,原始,[]
民國111年,第2次,醫學(六),37,"於正常懷孕期間,葡萄糖代謝會產生生理變化,下列何者不是懷孕時的現象?",輕微的空腹低血糖,飯後高血糖更為明顯,飯後高胰島素血症(hyperinsulinemia),飯後升糖激素(glucagon)更不受抑制,D,原始,[]
民國111年,第2次,醫學(六),38,"孕婦妊娠30週發生重度子癇前症,依病情因素必須終止繼續懷孕時,通常會給與孕婦肌肉注射類固醇而延後 48小時生產,但如發生下列何種情形時,則建議立即生產?",無法控制的高血壓急症,早期破水,羊水過少,肝功能高於正常值上限的兩倍,A,原始,[]
民國111年,第2次,醫學(六),39,"子癇前症症候群的疾病特徵為系統性血管內皮損傷,其後續變化不包括下列何者?",血管痙攣,血漿外洩,血栓性病變,充血性病變,D,原始,[]
民國111年,第2次,醫學(六),40,"關於先天性腎上腺增生(congenital adrenal hyperplasia)的診治,下列敘述何者最不適當?",患者外陰性別不明(ambiguous genitalia),患者常合併子宮畸形,檢驗血中17α-羥基丙酮(17α-hydroxyprogesterone)濃度有助於診斷,治療需補充類固醇(如hydrocortisone),B,原始,[]
民國111年,第2次,醫學(六),41,"生育年齡婦女發現骨盆腔腫塊,下列敘述何者最不適當?",先確定有無懷孕,"子宮肌瘤是最常見的良性子宮腫瘤,大部分會引起症狀",這個年齡層常見的卵巢瘤通常是良性的,最常見的卵巢腫瘤是畸胎瘤或子宮內膜異位瘤,B,原始,[]
民國111年,第2次,醫學(六),42,梅毒(syphilis)最常使用的治療藥物為下列何者?,penicillin G,interferon,azithromycin,doxycycline,A,原始,[]
民國111年,第2次,醫學(六),43,"一個7歲女孩,初經尚未來潮,由媽媽陪同來到門診。主訴肚子脹脹的但不會痛,於別科檢查時發現有卵巢 囊腫而轉診。你安排婦科超音波發現單側卵巢有一直徑約 6x6 公分的卵巢囊腫,囊腫為單一腔室 (unilocular),內部並無回音或固態組織,腹腔內部並無腹水,另一側卵巢為正常。下列何者為最適當的處理 方法?",密切觀察(observation),卵巢囊腫抽吸(cyst aspiration),單側卵巢囊腫切除手術(unilateral oophorocystectomy),單側卵巢全切除手術(unilateral oophorectomy),A,原始,[]
民國111年,第2次,醫學(六),44,"不正常子宮出血(abnormal uterine bleeding)可能的原因,通常不包括下列何項?",懷孕(pregnancy),甲狀腺功能失調(thyroid dysfunction),輸卵管積水(hydrosalpinx),子宮內膜腫瘤(endometrial tumors),C,原始,[]
民國111年,第2次,醫學(六),45,"下列有關子宮內膜息肉(endometrial polyp)的敘述,何者錯誤?",子宮內膜息肉形成與使用tamoxifen有關,大部分的子宮內膜息肉是沒有症狀的,子宮內膜息肉常見的症狀是不規則子宮出血,子宮內膜息肉不會造成經痛,D,原始,[]
民國111年,第2次,醫學(六),46,"下列有關子宮平滑肌瘤(uterine leiomyoma)的敘述,何者錯誤?",子宮平滑肌瘤是最常見的良性婦科腫瘤,漿膜下子宮平滑肌瘤(subserosal uterine leiomyoma)常常造成經血量增多(hypermenorrhea)的症狀,gonadotropin-releasing hormone(GnRH)agonist類藥物可使用於子宮平滑肌瘤治療,移除黏膜下子宮平滑肌瘤(submucosal uterine leiomyoma)可增加受孕率,B,原始,[]
民國111年,第2次,醫學(六),47,"女性胎兒的雙側穆勒氏管(Müllerian ducts)彼此將交會融合,其間的隔層將吸收消失。這過程若發生失誤, 所可能發生的先天性異常當中,並不包括下列的那一項?",無子宮,雙角子宮(bicornuate uterus),中膈子宮(septate uteri),多卵巢症(supernumerary ovary),D,原始,[]
民國111年,第2次,醫學(六),48,下列何者最常引起細菌性陰道炎(bacterial vaginosis)?,乳酸菌(lactobacilli),陰道加德納菌(Gardnerella vaginalis),乙型鏈球菌(group B Streptococcus),披衣菌(Chlamydia trachomatis),B,原始,[]
民國111年,第2次,醫學(六),49,"關於卵巢癌的轉移路徑,下列敘述何者正確?",早期常見經由血液轉移,常經由腹膜轉移,末期的卵巢癌較少經由淋巴轉移,能經由皮膚轉移,B,原始,[]
民國111年,第2次,醫學(六),50,下列何者不是vulvar cancer的risk factors之一?,human papillomavirus(HPV)infection,lichen sclerosus,nulliparity,history of cervical cancer,C,原始,[]
民國111年,第2次,醫學(六),51,下列何者不是子宮頸陰道鏡檢查下侵犯性病灶的特徵?,異常網狀血管,不規則表面合併上皮潰爛,醋酸塗抹後上皮白化,因血管增生或表皮壞死造成的顏色改變,C,原始,[]
民國111年,第2次,醫學(六),52,"關於gestational trophoblastic disease(GTD)的敘述,下列何者錯誤?",GTD是一種胎盤內細胞滋養層不正常增生的疾病,GTD的病人血中human chorionic gonadotropin(hCG)都會異常上升,gestational trophoblastic neoplasia(GTN)化療治癒後仍有機會正常懷孕,"gestational trophoblastic neoplasia(GTN)在低風險未轉移前,使用化療反應率不錯(high remission rate)",B,原始,[]
民國111年,第2次,醫學(六),53,"子宮內膜癌,通常可分為兩種型態,type I與type II,有關此兩種型態腫瘤的敘述,下列何者不恰當?","type I一般與荷爾蒙有關,而type II與荷爾蒙較無直接相關","type I發生的年紀一般較輕,而type II發生的族群年紀較大",type II較type I容易同時併發原發性的卵巢上皮癌,"PTEN突變(mutation)可在type I中常見到,而 HER2/neu則常在type II中發現",C,原始,[]
民國111年,第2次,醫學(六),54,下列何者最能表示卵巢中卵泡的庫存量下降?,月經第三天FSH下降,月經第三天雌二醇(estradiol)下降,兩側卵巢竇濾泡(antral follicle)總數小於4,抗穆勒氏管激素(anti-Müllerian hormone)上升,C,原始,[]
民國111年,第2次,醫學(六),55,"多囊性卵巢症候群(polycystic ovary syndrome)患者會有雄性素過高的症狀,下列何者不是造成雄性素過高的 原因?","腎上腺分泌過多的硫酸-脫氫異雄固酮(dehydroepiandrosterone sulfate, DHEAS)",卵巢分泌過多的睪固酮(testosterone),"肝臟分泌過多的性激素結合球蛋白(sex hormone-binding globulin, SHBG)",胰臟分泌過多的胰島素(insulin),C,原始,[]
民國111年,第2次,醫學(六),56,"試管嬰兒療程中,取卵的時機點必須搭配黃體化激素潮放(LH surge)的時間以利卵細胞成熟,正常女性生理 週期在LH surge開始之後多久會排卵(ovulation)?",10~12小時,22~24小時,34~36小時,46~48小時,C,原始,[]
民國111年,第2次,醫學(六),57,"關於尿失禁(urinary incontinence)的手術治療,下列敘述何者錯誤?","恥骨後陰道懸吊手術(retropubic colposuspension surgery, Burch procedure):縫線固定到Cooper ligament","無張力陰道吊帶手術(tension-free vaginal tape, TVT):以無張力下,將吊帶放置在膀胱頸處","經閉孔吊帶手術(transobturator tape, TOT)比無張力陰道吊帶手術(tension-free vaginal tape, TVT),較無腸道 及血管的損傷","無張力陰道吊帶手術(tension-free vaginal tape, TVT)比經閉孔吊帶手術(transobturator tape, TOT),較常發生 膀胱穿孔",B,原始,[]
民國111年,第2次,醫學(六),58,下列何者不是中大腦動脈(middle cerebral artery)中風之常見症狀?,忽略症候群(neglect syndrome),失用症(apraxia),情感失認症(affective agnosia),動作不能性緘默(akinetic mutism),CD,申覆後,[]
民國111年,第2次,醫學(六),59,"關於周邊神經病變的復健及治療,下列何者錯誤?",復健初期可利用支架、被動關節運動來避免關節攣縮,完全去神經的肌肉可用直流電刺激來減慢肌肉萎縮和纖維化,"神經截斷(neurotmesis)下,一定要先接受復健3個月,若沒有進步再考慮手術治療","神經失用(neuropraxia)的預後很好,一般在3個月內可恢復大部分功能",C,原始,[]
民國111年,第2次,醫學(六),60,所謂的Formet's sign 是因那一條神經病變導致手指肌肉萎縮?,尺神經,橈神經,正中神經,肌皮神經,送分(原:A),申覆後,[]
民國111年,第2次,醫學(六),61,"肌電圖(electromyography)檢查中,下列何種疾病最容易出現肌肉顫動(fasciculation)現象?",糖尿病神經病變(diabetic neuropathy),運動神經元疾病(motor neuron disease),急性發炎性脫髓鞘多發性神經病變症候群(Guillain-Barré syndrome),脊椎神經根病變(radiculopathy),B,原始,[]
民國111年,第2次,醫學(六),62,"下列關於網球肘(tennis elbow)之敘述,何者正確?",其病理變化以炎性(inflammation)為主,通常病變的部位在肌肉、肌腱交接處(musculotendinous junction),通常肘關節的活動度(range of motion)會變差,最常侵犯的是橈側伸腕短肌(extensor carpi radialis brevis)肌腱,D,原始,[]
民國111年,第2次,醫學(六),63,"人類第三與第四節腰椎間板(intervertebral disc)的內部壓力,在下列何種姿勢時最高?",平躺,站立,坐姿上半身前傾20度,坐姿上半身直立不前傾,C,原始,[]
民國111年,第2次,醫學(六),64,"膝下截肢型義肢(below knee, B/K prosthesis)在製做髕骨肌腱承重(patella tendon-bearing, PTB)承筒(socket) 的時候,下列那一個部位是可以承受壓力的區域(pressure-tolerant area)?",腓骨頭(fibular head),脛骨嵴(tibial crest),股骨內髁(medial  femoral condyle),膕肌肌腱(hamstring tendon),C,原始,[]
民國111年,第2次,醫學(六),65,"關於有氧運動(aerobic exercise)的描述,何者正確?","在無氧閾值(anaerobic threshold,簡稱AT)以上的強度進行運動時,就是有氧運動","雖然將運動按氧氣之介入與否,來分類為有氧或是無氧,但有些運動卻是難予劃分的","一般而言,心率達到最大心率的30%~35%,就可認定是在進行有氧運動",比較科學的認定是指短時間、有節奏、會令心率上升的小肌肉運動,B,原始,[]
民國111年,第2次,醫學(六),66,"在冠狀動脈心臟病病人的危險分級中,下列何者屬於高危險性?",急性心肌梗塞後沒有明顯併發症,左心室排血分數(ejection fraction)低於30%,冠狀動脈繞道手術後,65歲以上的老年人,B,原始,[]
民國111年,第2次,醫學(六),67,"下列關於先天性臂神經叢受損(congenital brachial plexus injuries)的敘述,何者正確?",Erb氏麻痺(Erb's palsy)是指損傷發生於臂神經叢的下半部(lower plexus),Klumpke氏麻痺(Klumpke's palsy)是指損傷發生於臂神經叢上半部(upper plexus),Erb氏麻痺較Klumpke氏麻痺少見,"不管是Erb氏麻痺或Klumpke氏麻痺,大多數患者日後皆復原良好",D,原始,[]
民國111年,第2次,醫學(六),68,高膽紅質血症(hyperbilirubinemia)與那一類型的腦性麻痺(cerebral palsy)關聯性最高?,痙攣型(spastic type),徐動型(athetoid type),低張型(hypotonic type),失調型(ataxic type),B,原始,[]
民國111年,第2次,醫學(六),69,"垂足患者接受功能性電刺激(FES 或 functional electrical stimulation)時,主要刺激以下那條神經?",脛神經(tibial nerve),深腓神經 (deep peroneal nerve),股神經(femoral nerve),蹠神經(plantar nerve),B,原始,[]
民國111年,第2次,醫學(六),70,"王先生初次中風後,肌力接近正常,但不會穿衣服,被診斷為失用症(apraxia),他最有可能的中風位置在:",頂葉(parietal lobe),前葉(frontal lobe),枕葉(occipital lobe),顳葉(temporal lobe),A,原始,[]
民國111年,第2次,醫學(六),71,De Quervain's 肌腱腱鞘炎常見以下那兩條肌腱的發炎?伸拇短肌(extensor pollicis brevis)  伸拇長肌 (extensor pollicis longus) 外展拇短肌(abductor pollicis brevis)  外展拇長肌(abductor pollicis longus),,,,,C,原始,[]
民國111年,第2次,醫學(六),72,"關於眼部影像診斷的敘述,下下列列何何者者錯錯誤誤?","造成眼眶內腫塊的原因包括腫瘤,例例如如淋淋巴巴瘤瘤和和視視神神經經腫腫瘤瘤,以及血管性疾病","眼眶外疾病也常造成凸眼,例例如如鼻鼻竇竇炎炎",甲狀腺眼病(thyroid eye disease)造造成成的的眼眼外外肌肌變變大大常常常常是是雙雙側側的的,甲狀腺眼病(thyroid eye disease)不不會會造造成成眼眼眶眶內內脂脂肪肪變變大大或或水水腫腫,D,原始,"['images/111080_44_q072_i0.jpg', 'images/111080_44_q072_i1.jpg']"
民國111年,第2次,醫學(六),73,"60歲歲男男性性病病患患因因長長期期頸頸部部疼疼痛痛接接受受電電腦腦斷斷層層檢檢查查,發現第3至第4頸頸椎椎有有一一鈣鈣化化病病灶灶如如圖圖。其診斷為何?",old vertebral fracture,oossssiiffiiccaattiioonn  ooff  tthhee  ppoosstteerriioorr  lloonnggiittuuddiinnaall  lliiggaammeenntt,ankylosing spondylitis,tuberculous spondylodiskitis,B,原始,[]
民國111年,第2次,醫學(六),74,"18歲女性,因急性下腹痛就醫,腹腹部部X光影像如圖,最可能的診斷為何?",右髂內動脈瘤(right internal iliac artery aneurysm),骨盆腔發炎性疾病(pelvic inflammatory disease),畸胎瘤(teratoma),薦骨骨折(sacral bone fracture),C,原始,[]
民國111年,第2次,醫學(六),75,"有關眼睛鈍傷(blunt eye trauma)的敘述,下列何者最正確?","檢查眼球的移動功能,如果不能向上看可能是第三對腦神經受傷","如有前房出血(hyphema),可能會造成眼壓上升","隔前出血(preseptal hemorrhage)容易造成眼眶腔室症候群,必須立即減壓","病人如眼球破裂(ruptured globe),一般都有明顯視力受損",B,原始,[]
民國111年,第2次,醫學(六),76,"成年人頸部側面有腫塊,造成腫塊的原因下列何者最罕見?",淋巴瘤,唾液腺腫瘤,甲狀舌管囊腫,消化道癌轉移,C,原始,[]
民國111年,第2次,醫學(六),77,"25歲男性病人有頭部外傷,至急診時昏迷指數(Glasgow Coma Scale)7分,血壓220/116 mmHg, 瞳孔不等 大,要實施快速順序插管(rapid-sequence intubation),下列藥物何者使用須特別小心?",lidocaine,ketamine,etomidate,propofol,B,原始,[]
民國111年,第2次,醫學(六),78,"林太太剛結婚,她先生不知道林太太以前結過婚且已有兩個小孩,林太太要醫師承諾不得將此事告知其丈 夫,且病歷上不能記載,因為她的丈夫若得知此事,可能會和她離婚。醫師如何應對較為適當?","承諾林太太會保密,但病歷必須詳實記載","承諾林太太會保密,且病歷也不記載","不承諾林太太保密,因為誠實是醫事人員的倫理義務","不承諾林太太保密,因為對此資訊,她先生有重大的知的權利",A,原始,[]
民國111年,第2次,醫學(六),79,"病人的兒子要求醫師不要將癌症切片報告告訴病人,以免讓病人承受不了衝擊,醫師本想依家屬要求含糊告 訴病人,但最後婉拒家屬的要求,這是考量那一項倫理原則所做的決定?",行善原則(beneficence),尊重自主原則(respect for autonomy),不傷害原則(non-maleficence),正義原則(justice),B,原始,[]
民國111年,第2次,醫學(六),80,"林先生為口腔癌症末期病人,因呼吸困難被家人送到醫院急診室,林先生意識不清,醫護人員認為病人死亡 已經無法避免,不應再施以急救,下列作法的優先次序為何?查詢病人是否已簽署DNR意願書 徵求家 屬同意並簽署同意書 查詢病人有無醫療委任代理人",→→,→→,→→,→→ <sup> </sup>,A,原始,[]
民國111年,第2次,醫學(四),1,"8歲女孩,因突發高燒、頭痛、嘔吐及腹瀉而至急診求治,在急診因血壓下降而被轉到加護病房。其 腦脊髓液檢查正常,血液WBC 21,000/mm3(band: 3%, segment: 70%),CRP 12.7 mg/dL。身體診察發 現左手臂有一大塊紅腫的區域,位於先前被蚊子叮咬而抓破皮的周圍,胸部、腹部有會癢的紅疹。 此時最適當給與的抗生素為下列何者?",A mpicillin,Oxacillin,Ampicillin + Gentamicin,O xacillin + Clindamycin,D,原始,[]
民國111年,第2次,醫學(四),2,貓抓病(Cat scratch disease)是下列何種細菌引起?,B artonella henselae,B rucella canis,B urkholderia cepacia,B artonella quintana,A,原始,[]
民國111年,第2次,醫學(四),3,"8個月大的女嬰高燒3天,除了發燒外有輕微鼻塞,第4天軀幹出現紅疹後不再發燒,關於此疾病下列何者錯",最 可能的診斷為嬰兒玫瑰疹(Roseola infantum),最主要的致病原為人類疱疹病毒第八型(HHV-8),"在亞洲國家的病人,於uvulopalatoglossal junction處常可見Nagayama spots",熱 性痙攣(Febrile convulsion)是可能的併發症,B,原始,[]
